id,folder,title,author,dominant_motif,dominant_score,x,y,description
11,11. Потомка,Потомка,Елисавета Багряна,Семейство и род,0.3546,71.37,87.68,"""Потомка"" е едно от най-известните стихотворения на Елисавета Багряна и представя образа на модерната жена, която носи в себе си наследството на рода, но не се подчинява сляпо на традицията. Лирическата героиня усеща връзка с предците си, но едновременно с това изразява потребност от свобода, движение и личен избор. Текстът противопоставя родовата памет и индивидуалната воля. В него се откроява силно самосъзнание и желание жената да бъде разбрана като самостоятелна личност. Стихотворението се възприема и като манифест на женската независимост в българската поезия."
12,12. Честен кръст,Честен кръст,Борис Христов,Личност и вътрешен конфликт,0.3307,-33.49,89.1,"""Честен кръст"" е поема-изповед, в която лирическият говорител преживява разочарование от поезията, обществената суета и фалша на духовния живот. Творбата е построена като дълъг вътрешен монолог, в който се редуват протест, самоанализ и отказ. Поетът говори за страданието като цена на творчеството, за самотата на истинския творец и за нуждата от завръщане към по-истински, земни стойности. Заглавието има и християнски, и нравствен смисъл - клетва, признание и тежък личен избор. В текста поезията е видяна едновременно като рана, съдба и изпитание."
13,13. Железният светилник,Железният светилник,Димитър Талев,Родина и памет,0.3162,115.15,-61.64,"""Железният светилник"" е исторически роман от тетралогията на Димитър Талев за съдбата на българите в Македония през Възраждането. Действието се развива в Преспа и проследява живота на семейството Глаушеви на фона на обществени, църковни и национални конфликти. В центъра стоят борбата за духовно и национално пробуждане, семейните отношения и личният избор. Романът показва българската общност като носител на памет, вяра и устойчивост. Заглавието насочва към идеята за духовна светлина, която не угасва въпреки историческите изпитания."
14,14. Бай Ганьо журналист,Бай Ганьо журналист,Алеко Константинов,Общество и власт,0.6701,-40.35,175.9,"""Бай Ганьо журналист"" е фейлетон от книгата ""Бай Ганьо. Невероятни разкази за един съвременен българин"". В него Алеко Константинов показва героя в ролята на човек, който се намесва в обществения живот с грубост, самоувереност и желание да изглежда значим. Текстът разобличава фалшивия авторитет, безкритичността и липсата на култура. Чрез комични ситуации и характерна реч авторът осмива не само Бай Ганьо, но и средата, която допуска подобно поведение. Произведението поставя въпроси за морала, публичното слово и обществената отговорност."
15,15. Балкански синдром,Балкански синдром,Станислав Стратиев,Общество и власт,0.5609,-139.37,109.13,"""Балкански синдром"" е сатирична пиеса на Станислав Стратиев, в която чрез абсурдни ситуации се разкриват слабости на общественото поведение и административното мислене. В центъра са обикновени хора, попаднали в свят на нелогични правила, чиновнически произвол и колективни заблуди. Произведението съчетава хумор, ирония и гротеска. Смешното в пиесата постоянно преминава в тревожно и показва колко лесно абсурдът може да бъде приет за нормален. Затова творбата се възприема като ярък пример за съвременна българска сатирична драматургия."
16,16. Паисий,Паисий,Иван Вазов,Родина и памет,0.5476,154.93,-118.19,"""Паисий"" е ода от цикъла ""Епопея на забравените"", посветена на духовното и националното пробуждане на българите чрез образа на Паисий Хилендарски. Вазов представя Паисий не само като историческа личност, а и като символ на будителството и родолюбието. Творбата напомня за забравеното минало и призовава към памет, самоуважение и национално съзнание. Лирическият говорител говори в тържествен тон и изразява възхищение от делото на монаха. Основното внушение е, че народ без историческа памет губи духовната си опора."
17,17. История,История,Никола Вапцаров,Труд и творчество,0.2294,22.66,71.06,"""История"" е социално и философско стихотворение на Никола Вапцаров. В него лирическият говорител гледа на историята не като на далечно минало, а като на жив процес, свързан с човешкия труд, страдание и борба. Текстът противопоставя официалната история на живота на обикновения човек. Вапцаров внушава, че истинската история се пише от хората, които работят, страдат и мечтаят за по-добро бъдеще. Произведението е сред важните текстове, чрез които поетът защитава достойнството на човека от труда."
18,18. Ноев ковчег,Ноев ковчег,Йордан Радичков,Надежда и общност,0.3974,82.57,-97.67,"""Ноев ковчег"" е едно от характерните късни произведения на Йордан Радичков, в което реалното и приказното се преплитат. Книгата използва библейския образ на ковчега като символ на спасение, памет и оцеляване. В нея авторът събира хора, животни, спомени и чудновати случки в един почти митичен свят. Текстът е едновременно земен и философски, с типичния за Радичков хумор, тъга и народна мъдрост. Творбата често се чете като притча за човека в свят на изпитания и промени."
19,19. Борба,Борба,Христо Ботев,Свобода и бунт,0.4755,156.07,27.98,"""Борба"" е едно от най-ярките сатирично-патетични стихотворения на Христо Ботев. В него лирическият говорител осъжда обществената пасивност, духовната слепота и лицемерието в робското общество. Творбата е изпълнена с гняв срещу покорството, фалшивите авторитети и нравствения упадък. Основната идея е, че истинската промяна идва чрез съзнателна и решителна борба. Финалът звучи като зов за действие и избор между унижението и свободната съпротива."
20,20. Андрешко,Андрешко,Елин Пелин,Общество и власт,0.591,-76.34,134.22,"""Андрешко"" е разказ на Елин Пелин, в центъра на който стои срещата между селския хитрец Андрешко и съдия-изпълнителя. През кратък, но напрегнат сюжет се разкриват социалното неравенство, властовото високомерие и селският морал. Андрешко подвежда съдия-изпълнителя и го оставя в блатото, за да защити бедния Станоя. Така той изразява съпротива срещу безсърдечната власт. Разказът е сред най-популярните творби на Елин Пелин и образец на неговия социално-психологически реализъм."
21,21. Приказка за стълбата,Приказка за стълбата,Христо Смирненски,Общество и власт,0.4327,-82.39,51.64,"""Приказка за стълбата"" е сатирична алегория за човек, който се изкачва към властта и постепенно губи морала и съвестта си. Творбата показва как компромисите, направени в името на успеха, водят до духовно падение. Стълбата е символ на общественото издигане, но и на отдалечаването от обикновените хора и истинските човешки ценности. Сюжетът развива идеята за цената на компромиса и за опасността властта да променя човека отвътре. Произведението остава актуално с въпроса дали целта оправдава средствата."
22,22. До моето първо либе,До моето първо либе,Христо Ботев,Свобода и бунт,0.2884,-38.42,-79.77,"""До моето първо либе"" е едно от най-известните лирически стихотворения на Христо Ботев. В него говорителят се обръща към първата си любима, но личното чувство е преплетено с болката от народното робство и с избора на революционна саможертва. Любовта и свободата се противопоставят, като свободата се утвърждава като по-висша ценност. Творбата разкрива вътрешния драматизъм на героя между човешката нежност и дълга към народа. Затова стихотворението е едновременно любовно, гражданско и изповедно."
23,23. Новото гробище над Сливница,Новото гробище над Сливница,Иван Вазов,Родина и памет,0.4531,-74.31,-129.82,"""Новото гробище над Сливница"" е патриотично стихотворение, посветено на загиналите български войници в Сръбско-българската война. В него Вазов превръща военната жертва в нравствен подвиг и дълг към родината. Текстът съчетава скръб по мъртвите и възхвала на героизма им. Гробището е представено не само като място на тъга, а и като пространство на национална памет. Творбата е сред най-разпознаваемите български текстове за саможертва и признателност."
24,24. Крадецът на праскови,Крадецът на праскови,Емилиян Станев,Любов,0.2749,-85.25,-55.47,"""Крадецът на праскови"" е повест на Емилиян Станев, чието действие се развива по време на война. Тя разказва за срещата между Елисавета, съпругата на строг военен комендант, и Иво - сръбски военнопленник. Между тях се поражда любов, която се превръща в кратък, но силен порив към свобода и човешко щастие. Творбата противопоставя насилието и страха на състраданието и интимното чувство. Трагичният финал подчертава невъзможността любовта да се запази в свят, доминиран от войната."
25,25. При Рилския манастир,При Рилския манастир,Иван Вазов,Родина и памет,0.3642,181.44,-46.95,"""При Рилския манастир"" е лирически поклон пред Рилския манастир като духовен и исторически център на България. Вазов съчетава възхищение от величието на природата с преклонение пред делото на монасите и книжовниците. Манастирът е представен не само като религиозна обител, а и като пазител на националната памет. В творбата силно се усеща връзката между вяра, родолюбие и история. Затова стихотворението звучи като израз на духовно и национално възраждане."
26,26. Градушка,Градушка,Пейо Яворов,Природа,0.3771,119.6,72.45,"""Градушка"" е лирическа поема за тежката съдба на българския селянин и за унищожителната сила на природната стихия. Творбата показва година на труд, надежда и очакване, която е погубена от градушката. Яворов съчетава битова картина, социална болка и силен драматизъм. Произведението е изградено като движение от надежда към катастрофа. В него природата не е само фон, а жесток участник в човешката трагедия."
27,27. Спи езерото...,Спи езерото,Пенчо Славейков,Природа,0.5359,99.72,125.95,"""Спи езерото"" е лирическа миниатюра, в която природната картина е представена като тиха и застинала в покой. Езерото е център на образността и внушава безвремие, съзерцателност и вътрешно утихване. В стихотворението се усеща характерният за Пенчо Славейков стремеж към изчистена форма и към превръщане на природата в символ на душевно състояние. Пейзажът е едновременно красив и леко тъжен. Творбата съчетава хармония, самота и философска нагласа."
